StateAbbreviation,StateFIPS,CongressionalDistrict,Population,NonHSGradPct,HSGradPct,CollegeGradPct,GradSchoolPct
"AL",1,1,713410,0.12237524941988288,0.33522032258982165,0.1641619695128642,8.560740599257938e-2
"AL",1,2,673776,0.15271541282072623,0.3261802857130341,0.14469643537724897,8.63556912617021e-2
"AL",1,3,710488,0.1443155763083463,0.31459724523438937,0.1265773794580844,9.026627169419758e-2
"AL",1,4,685553,0.17829878063111473,0.3438825371932081,0.10725190105741311,7.14186514083529e-2
"AL",1,5,718713,0.11030515863405183,0.27001291676757894,0.20140268022927263,0.11800072656817631
"AL",1,6,700401,8.474423196076578e-2,0.2573075832519454,0.23415771399766863,0.14206231687722504
"AL",1,7,672406,0.15691949532022983,0.33492671856635936,0.1335217723797686,7.320247873293165e-2
"AK",2,0,739795,8.313796175354732e-2,0.2764592647660421,0.17950789204275264,0.10848054555912959
"AZ",4,1,765810,0.13737529392508255,0.26836707400324966,0.15070522058852884,0.10260730012096339
"AZ",4,2,720429,7.907079751010433e-2,0.19840861813953856,0.20022581487135274,0.15398715504899907
"AZ",4,3,773297,0.23061750839874023,0.2795778226091729,0.11141435428855649,5.617669191469839e-2
"AZ",4,4,771214,0.12350385812487061,0.3035882842134443,0.11920184712772341,7.336928869441335e-2
"AZ",4,5,822497,5.959992201777193e-2,0.22719429782287467,0.23943641442088173,0.12097266431383838
"AZ",4,6,783087,6.538424325584259e-2,0.18134592887739576,0.2717312716046125,0.17274014653754474
"AZ",4,7,833654,0.31178758625775016,0.28202213360042766,9.420810827971988e-2,4.336596226677891e-2
"AZ",4,8,777208,8.268930617888023e-2,0.25042080041188935,0.19975013006558184,0.10683019825775128
"AZ",4,9,769074,9.875584276817591e-2,0.18470343084587315,0.2435894655702995,0.1530307480911817
"AR",5,1,722287,0.1523522443283243,0.39227061763655835,0.1085123819415144,5.5803933660056475e-2
"AR",5,2,765193,9.622643716707871e-2,0.3030158866332348,0.18435552678578393,0.12047168560532207
"AR",5,3,807421,0.1397774593693595,0.2911844984971506,0.1909088642218271,9.659283811233679e-2
"AR",5,4,709378,0.14590966240297593,0.37965066137428694,0.11163457641912322,6.060744604578185e-2
"CA",6,1,718214,0.10028986421112993,0.25096407930180364,0.15805186027402118,8.974361500672934e-2
"CA",6,2,717999,8.376173565149624e-2,0.17758329009122317,0.2524098233214184,0.17032054459981597
"CA",6,3,750271,0.1617293818531806,0.23882372623008719,0.16084126954621591,8.998849584755862e-2
"CA",6,4,748410,6.546676810497004e-2,0.2135412694544839,0.21196389143621386,0.11735469242058702
"CA",6,5,732438,0.12125229038740543,0.20512044884849628,0.2126712612496315,0.11161291441320804
"CA",6,6,764344,0.14736862772045903,0.2456379396664278,0.1791257227561428,0.10491915929594471
"CA",6,7,750860,0.10242096830992728,0.20688133927223898,0.22251933949668937,0.11175887836723954
"CA",6,8,721449,0.1693832828044943,0.2988277751610399,0.10459359112992214,5.4263771596379615e-2
"CA",6,9,774266,0.1767975217104261,0.27303844395916915,0.14948961454471585,6.340967954903255e-2
"CA",6,10,758005,0.1902200488997555,0.3019394140317434,0.12358169988811073,5.5677344494633456e-2
"CA",6,11,764135,0.1248111473398821,0.1605590979475032,0.27771830238626977,0.16377076908893526
"CA",6,12,774736,0.1119990993236886,0.11182057241196292,0.36031234167799214,0.23556706419731244
"CA",6,13,766731,0.150667249331649,0.1461191574370575,0.2717636387672963,0.20987323364376156
"CA",6,14,756389,0.10805237369876874,0.15206739731752517,0.2873202930668822,0.201396412002031
"CA",6,15,785387,9.648568467866334e-2,0.1941751639509959,0.2774245716148513,0.1817584142692457
"CA",6,16,729788,0.32844401214912966,0.23902540856495288,8.693188595968031e-2,3.36119802897806e-2
"CA",6,17,771078,8.162366234005405e-2,0.1560686022976967,0.2824635873029056,0.28144166656134506
"CA",6,18,742728,6.281341327698337e-2,0.10397446689916753,0.30585699860079524,0.33872590284975823
"CA",6,19,770105,0.177307838517395,0.19192895722497844,0.22923336092763155,0.13574272079780325
"CA",6,20,744295,0.24082283083655312,0.20234142968860333,0.16785023956021256,0.11233508497905824
"CA",6,21,723549,0.3869929623121952,0.2786393490373683,6.2138836949270394e-2,2.053285350521954e-2
"CA",6,22,760328,0.18159602951457657,0.2273094247081767,0.16578032029679077,8.637061182790812e-2
"CA",6,23,745328,0.1837530271938097,0.27465810825854176,0.13221984410870802,7.488117017187529e-2
"CA",6,24,740039,0.1452431164299447,0.18550490806379213,0.2058570690516723,0.143600037265713
"CA",6,25,721740,0.13979759842078496,0.22671261216995525,0.18597369124276983,8.991914281034766e-2
"CA",6,26,732091,0.1594528612312051,0.1876426328960959,0.21593854997203477,0.11959525938264196
"CA",6,27,717980,0.14160946912668562,0.1826142376555401,0.25898130179502005,0.1728882706402499
"CA",6,28,719156,0.11638233566814203,0.18733975047627233,0.30750003580994945,0.1445558133871915
"CA",6,29,713745,0.2878722189103673,0.2507284922815253,0.15101155165729388,4.676941291234331e-2
"CA",6,30,771201,0.10469930435748465,0.16122675294568686,0.293160560312009,0.15775122763078456
"CA",6,31,762208,0.19030042208060913,0.24610196143341886,0.16285069932963667,8.841968054291152e-2
"CA",6,32,725317,0.23416907485042127,0.25915788188367456,0.15564329032520657,7.093695307094305e-2
"CA",6,33,705588,4.549226854570366e-2,0.10087296926991583,0.36982579761205714,0.2694421608925426
"CA",6,34,763303,0.31973572946742135,0.20508200842557536,0.19946368851272597,7.757661864748946e-2
"CA",6,35,745237,0.28099921389759935,0.2657587615863719,0.1181226838054267,4.1192629642107445e-2
"CA",6,36,737403,0.18473982847328374,0.2947395072622046,0.1285694581169095,7.765372311982874e-2
"CA",6,37,713530,0.18735812990322967,0.17273306519055395,0.22890964119310261,0.16056509099597785
"CA",6,38,718428,0.17919389978213507,0.26925843712747155,0.16645496773132734,7.945698195420726e-2
"CA",6,39,736480,0.11508905323393429,0.1833912501113784,0.2739037888463176,0.14320591642163413
"CA",6,40,738618,0.4271945419595881,0.2530322446732666,7.669728993132327e-2,2.914474456045989e-2
"CA",6,41,765770,0.2416291525292114,0.2816828191362006,0.10795659217045618,6.643399632875542e-2
"CA",6,42,826899,0.12318360804265255,0.2521885756544432,0.18048924974736036,8.591103212492208e-2
"CA",6,43,745656,0.220714612371503,0.21723897957966318,0.1890282941960114,8.677350724752948e-2
"CA",6,44,717097,0.34997342140086185,0.26310777339199476,0.10405917414071955,2.9012520216700408e-2
"CA",6,45,777871,6.268756375776685e-2,0.12151720300472967,0.3357933784661041,0.2140109431512566
"CA",6,46,734649,0.3261925861234904,0.23522083659761375,0.1433671962292745,4.772270954539811e-2
"CA",6,47,723526,0.1832326630476336,0.1852889928008338,0.22012386268063308,0.1104965372372747
"CA",6,48,721632,0.1008969722889404,0.15541410029746336,0.29200094699500917,0.15945410319954484
"CA",6,49,747350,0.1016188119989533,0.16112393050566565,0.2692588275408172,0.18946206120005393
"CA",6,50,754388,0.12392926658208496,0.23687144894758824,0.19592746987761922,9.830849730888344e-2
"CA",6,51,746496,0.2846304752024216,0.2685605599707975,0.10807914561332727,3.9850315826774514e-2
"CA",6,52,768240,4.499502189810684e-2,0.10688788280125829,0.3343751327647768,0.2571378961931836
"CA",6,53,774182,0.10473988568741498,0.17847019680947343,0.2506573066939852,0.1350758258552451
"CO",8,1,826995,0.10538017269441545,0.17663591547168797,0.30139806633264316,0.18679589104076408
"CO",8,2,799734,3.66767737128271e-2,0.1502906697946868,0.33268043290618154,0.23165608008911906
"CO",8,3,749478,9.216299137104506e-2,0.2590584851390221,0.2077967401725791,0.10219558964525408
"CO",8,4,817251,9.34427321086392e-2,0.23351249972255722,0.24042082522583844,0.11990892477971042
"CO",8,5,799622,6.471938227546625e-2,0.21772604112887728,0.22410037646828282,0.14804360851820728
"CO",8,6,814636,8.37775763957426e-2,0.2086633817750889,0.2836319209277923,0.147700881637505
"CO",8,7,799438,0.10688025498708578,0.25314062757597405,0.22530087377040173,0.1202890586360389
"CT",9,1,710509,0.10622584417453199,0.2693859682901273,0.20287751995800662,0.1689828560773878
"CT",9,2,705217,7.438433055728297e-2,0.29386911511870356,0.19667077180703402,0.1531562839131336
"CT",9,3,716547,7.681180823752425e-2,0.3095029526663012,0.19107260989805766,0.16373085925725117
"CT",9,4,737616,0.10720138146006868,0.20608515531409385,0.2667383839962178,0.22499008377705926
"CT",9,5,718295,0.11418422361020478,0.27875337932320315,0.21230695130667163,0.15310276249961158
"DE",10,0,961939,9.43332650522647e-2,0.3240515611130408,0.18026498992112053,0.13454487699017048
"DC",11,98,693972,9.77145814716122e-2,0.171917899614649,0.23891762060920232,0.3342950260202906
"FL",12,1,770361,9.08668897154147e-2,0.2622370166569484,0.17740301059198496,0.10089464815097872
"FL",12,2,731845,0.11873054222494984,0.3269352899706155,0.14838113253718704,9.7875885856783e-2
"FL",12,3,739130,0.12403933559209983,0.3180285443049456,0.14964294424367267,0.11129497461407141
"FL",12,4,800494,7.41769482008197e-2,0.23447893960877264,0.2605319591701409,0.13938973892310189
"FL",12,5,729175,0.1310333536739645,0.33666437745974576,0.14220227375654604,7.073436765797123e-2
"FL",12,6,764500,0.10127775450356095,0.323739701159056,0.14585777126099705,9.148861890797375e-2
"FL",12,7,772969,5.353515804821772e-2,0.19573815648304901,0.276273883854336,0.1384770326054892
"FL",12,8,756993,8.489027322986271e-2,0.2863047857377384,0.18519287596837314,0.11519669178003177
"FL",12,9,868945,0.14083985479796907,0.29023589384691956,0.15541441522548952,7.886060231324434e-2
"FL",12,10,830014,0.11878800322757269,0.2524044696118268,0.21441565084579695,8.796936687703524e-2
"FL",12,11,770114,0.10795127669063484,0.356462039157041,0.144410862108127,7.577578789079532e-2
"FL",12,12,779151,9.197609197956395e-2,0.3149636918205475,0.1764579257379249,9.533001991177711e-2
"FL",12,13,730650,9.60969529234067e-2,0.2927098063901763,0.19702657253369046,0.10762223882646446
"FL",12,14,776940,0.10570009788956107,0.2719266990964906,0.23096123048303435,0.1329647785108035
"FL",12,15,804652,0.12033582946240469,0.31565104152317136,0.16927759196095826,8.247144329158425e-2
"FL",12,16,814209,8.930285517579224e-2,0.2801421960955653,0.20345361746072727,0.13241514904772309
"FL",12,17,778091,0.12965339531973513,0.36159780939517844,0.13537883973969747,8.149002840856528e-2
"FL",12,18,772184,0.10056000154338039,0.2799218488293986,0.2101908705542314,0.110181575195071
"FL",12,19,814074,9.38163488303464e-2,0.29466657095685883,0.19815439587171696,0.12594134583941488
"FL",12,20,776092,0.1690810416906378,0.3250143826947417,0.13349633720707246,7.741916925555171e-2
"FL",12,21,788240,0.11422745847445337,0.24898265609937126,0.21576221879078974,0.13634541064862604
"FL",12,22,757352,8.383215584772792e-2,0.24511036393032765,0.2466143248308705,0.14962030717475744
"FL",12,23,753950,7.589866393991113e-2,0.21796688796493313,0.24984774779516253,0.1559306932926325
"FL",12,24,770480,0.20811566651960942,0.32872785384150766,0.13513298582380776,6.919390539233043e-2
"FL",12,25,780826,0.20551149433397778,0.31788995357107575,0.15841929975586005,8.250659742312415e-2
"FL",12,26,797160,0.18533637317699853,0.2809503130315203,0.19672493033691602,7.869576231317628e-2
"FL",12,27,755809,0.13404847224102187,0.22474869807436115,0.23855694633430458,0.16991643454038996
"GA",13,1,747334,0.12392564096321006,0.293272625453483,0.15189144002662056,9.994684002499736e-2
"GA",13,2,674100,0.16018138366321466,0.3505184822054728,0.10275684103737294,6.886088245240155e-2
"GA",13,3,738066,0.12173765264750867,0.29867928040204256,0.1805651093720917,9.545476616303442e-2
"GA",13,4,765854,0.12070813636915048,0.2634669806161391,0.18288882569241569,0.12428381933851854
"GA",13,5,784370,0.11427778291847876,0.24379260355942137,0.23309544739520682,0.17639994139600876
"GA",13,6,756389,5.8059724917793064e-2,0.12932423793500772,0.3824431250502429,0.2376727876859944
"GA",13,7,807492,0.10666279559389882,0.21342941797395487,0.28321447729942684,0.1423465238215179
"GA",13,8,702262,0.1509539879081952,0.3361723910242761,0.13372391884596607,9.585260988981445e-2
"GA",13,9,755181,0.17646307996681346,0.31384687386984916,0.14581000508628308,9.04062644441737e-2
"GA",13,10,736838,0.12750981088670119,0.34517617307757364,0.15420641767312832,0.10755184546161914
"GA",13,11,768968,8.686027380310228e-2,0.21205916869186614,0.26666705333959745,0.1468390454592031
"GA",13,12,722937,0.166448576478866,0.3261528032812205,0.13095278955226441,8.356858471623964e-2
"GA",13,13,752631,0.11822431050094218,0.2936805096705251,0.1692464250462929,0.1065430014112196
"GA",13,14,716957,0.19686682315723938,0.34664344548491044,0.1046846210151695,6.635494754200426e-2
"HI",15,1,714328,8.572898578686733e-2,0.2542636474722139,0.2341200934679615,0.12192345995162897
"HI",15,2,713210,6.838661486050096e-2,0.3095721039067159,0.1998691777387558,0.10136868148080895
"ID",16,1,890052,8.918389708418724e-2,0.2907189091573159,0.17429438142970194,7.949326677894338e-2
"ID",16,2,826891,9.415210072406954e-2,0.27113983304893235,0.1916305400544205,9.194222816645913e-2
"IL",17,1,720977,0.11055785868781542,0.2722930458150357,0.15996141115553517,0.11556580585960542
"IL",17,2,702756,0.11278943970217645,0.30222655060646564,0.13319138920260076,8.435454649498049e-2
"IL",17,3,725538,0.13740231274261777,0.296588243729067,0.18863908719387912,0.11167330718097365
"IL",17,4,700585,0.2773941142776859,0.26977271990403007,0.1703314636492343,7.87061353737747e-2
"IL",17,5,729300,7.614855311527947e-2,0.16950513714770477,0.33942124611179186,0.2110246017532284
"IL",17,6,720542,5.1236409608091026e-2,0.16812743362831858,0.3250811630847029,0.21409254108723136
"IL",17,7,697263,0.12857698425273,0.20714460615363722,0.23228303521273116,0.20110537481301016
"IL",17,8,713012,0.1384010764073063,0.25071729767699996,0.21823461829114196,0.11436827629425896
"IL",17,9,732614,7.633101606135817e-2,0.17569064612130358,0.3171066395439053,0.22724254928223755
"IL",17,10,714681,0.10721491788697073,0.20915846029354906,0.25405705762173286,0.19941011301237452
"IL",17,11,721823,0.14404017861851195,0.2287194436417252,0.2236422736103172,0.1296502933030714
"IL",17,12,695178,0.10037686212692215,0.3184182230063367,0.13490620204403336,9.796327421156475e-2
"IL",17,13,698295,7.327456031266655e-2,0.3024293835494759,0.18198614318706696,0.13222819328477528
"IL",17,14,746748,6.446522135356152e-2,0.2363691105242207,0.2630681347459117,0.14052298807606584
"IL",17,15,701482,0.10773579992808521,0.3401755712886387,0.1293350361433832,6.601488718883419e-2
"IL",17,16,690420,8.82547800804311e-2,0.3410050934072658,0.13352998020871576,8.026441830925886e-2
"IL",17,17,689744,0.12175325360163682,0.34054504418992176,0.12688097196734796,7.074395157037694e-2
"IL",17,18,701065,6.03648575246443e-2,0.2927410577274577,0.21824328929405665,0.11773088607960941
"IN",18,1,714257,0.10455689239724313,0.34916813418223464,0.15677376451608932,8.112385010406019e-2
"IN",18,2,722928,0.1440500076847444,0.338322451875604,0.13848119974650872,8.801243033726554e-2
"IN",18,3,744914,0.12057189448755665,0.33453246253062696,0.15189948620455124,7.188219579949685e-2
"IN",18,4,758815,9.401800153552117e-2,0.3501253736707124,0.16477857457895684,9.783230148488165e-2
"IN",18,5,781441,5.2962365530751676e-2,0.21615473410715427,0.2972668103010682,0.18286689753452678
"IN",18,6,720147,0.10760310733013843,0.38695085533674717,0.14435334079037837,8.299896353915462e-2
"IN",18,7,755875,0.1788423276516317,0.31064139642688654,0.15739749348758025,8.7957664143745e-2
"IN",18,8,714623,0.11716356077715079,0.3404301479627996,0.14095414413613983,8.186407092957665e-2
"IN",18,9,753818,0.11118861717728191,0.3279160556458325,0.16420276643811185,0.1023582101383219
"IA",19,1,774043,7.139078626782452e-2,0.32109829602715234,0.18682693458644004,8.930508952325056e-2
"IA",19,2,780802,7.669235535589806e-2,0.3104426458059019,0.18494694446595927,0.11290178917202386
"IA",19,3,835190,8.412748806750002e-2,0.27010946869209757,0.2260134777609769,0.10257196718988504
"IA",19,4,755676,8.390173548582447e-2,0.32271032207684586,0.17598089212577092,7.458485394189548e-2
"KS",20,1,702327,0.11830240628353418,0.2834199201116555,0.1681351694658951,8.932663938007003e-2
"KS",20,2,715120,7.295771783071878e-2,0.3044968769333774,0.18347698592289374,0.115896705736781
"KS",20,3,770493,7.486314803430813e-2,0.17831250060985723,0.2922611555087185,0.18299034961896118
"KS",20,4,725183,9.63783961770318e-2,0.272652437479948,0.1944749328785397,0.10735212171358133
"KY",21,1,716177,0.15347415644774798,0.38270557512198555,9.30049208076912e-2,7.020117784850204e-2
"KY",21,2,760681,0.12899521116383886,0.3664415066612297,0.11539893507000053,8.287779307736404e-2
"KY",21,3,746559,9.156812967513338e-2,0.281494180871056,0.18908629687739392,0.1359063819388822
"KY",21,4,760043,0.10441455239703283,0.30537843861276287,0.17481619747081523,0.11592774532337047
"KY",21,5,696337,0.23661797966910517,0.3747297084579505,7.188098058871777e-2,6.0276049476814995e-2
"KY",21,6,774392,0.11195899994153984,0.2773213554962293,0.19078083286240427,0.1258627745191652
"LA",22,1,808968,0.12302079664797406,0.29293383541480417,0.1965811502722618,0.11476354310586152
"LA",22,2,797298,0.17905817030675392,0.31122328815137223,0.13769340185116843,8.481956578583788e-2
"LA",22,3,788118,0.14468917785639235,0.3844420238864094,0.15220019085993003,6.742560800454979e-2
"LA",22,4,753143,0.14296902855174126,0.36874091107576806,0.12339103506572069,7.158767231398502e-2
"LA",22,5,740217,0.18732198544964607,0.37581930204986763,0.12455029250183773,5.778984505695442e-2
"LA",22,6,796589,0.11753540494738438,0.3156553297904396,0.18802670796844023,9.954840579376366e-2
"ME",23,1,683279,6.648096341565911e-2,0.27056843605044406,0.23579510207675466,0.14621129347917441
"ME",23,2,652628,8.805808253075094e-2,0.35063705197683137,0.16107012868153334,9.466164425932909e-2
"MD",24,1,734002,9.864838508347636e-2,0.2966160867530036,0.18940162271805275,0.12592448119831487
"MD",24,2,765155,0.11317384173526038,0.28923893709912146,0.19327063008677842,0.13308590832441422
"MD",24,3,763763,8.798145312584923e-2,0.19988492541705166,0.24778144075626865,0.23477838771888065
"MD",24,4,761353,0.12432509126606743,0.2686002546246587,0.18785662791054392,0.1426166518391263
"MD",24,5,768507,8.696526183131151e-2,0.26529894308754515,0.20444142911264196,0.15322331238064313
"MD",24,6,779616,0.10435332599794908,0.22873674204148234,0.2176307457391148,0.20307599607781496
"MD",24,7,718158,0.11203896307681166,0.2508479418048386,0.20059909150529284,0.17961479502540809
"MD",24,8,761623,7.978466176052747e-2,0.16477402092039975,0.2626979751356213,0.28800830945181327
"MA",25,1,736460,0.1232590188930048,0.3028217333085727,0.17379218672114002,0.12123190601389852
"MA",25,2,744124,8.319925353940749e-2,0.27132765911632944,0.2326269471476393,0.16481945582544305
"MA",25,3,769115,0.1134720307202154,0.261272907730349,0.2112990114990448,0.16829568207330856
"MA",25,4,752077,6.418977679002802e-2,0.19216735916513672,0.26401004928012367,0.2569291719006667
"MA",25,5,766210,6.047000116694544e-2,0.19061034950941985,0.26957365741075184,0.3066195442985454
"MA",25,6,774450,7.049915393018061e-2,0.24739953943266974,0.27616954839319435,0.17508828752196964
"MA",25,7,806820,0.1373369440425121,0.23035401229730765,0.23236590139556582,0.2166461954521101
"MA",25,8,762640,8.425540241589045e-2,0.2186567475164378,0.27784914363985225,0.1942713646139268
"MA",25,9,747923,9.520179149773399e-2,0.2762106663188506,0.2122847658395625,0.14416119070669736
"MI",26,1,698974,7.383172055699788e-2,0.32959247895523563,0.16953426166312643,9.30080245456691e-2
"MI",26,2,737365,9.494843444566774e-2,0.30729761362499003,0.1859056194096464,8.59017384608157e-2
"MI",26,3,743830,8.118320417363116e-2,0.27691840145874486,0.2149926556247784,0.11121308818315352
"MI",26,4,702994,8.7112447219225e-2,0.34977411595450303,0.13743479716174045,8.648666629244552e-2
"MI",26,5,677788,0.10183445171261946,0.324388410521915,0.126348706297693,7.206261797880921e-2
"MI",26,6,718436,9.161697386485505e-2,0.29331619644548673,0.17403469385200238,0.10649560380405526
"MI",26,7,701645,7.52382677431369e-2,0.32962253667888447,0.1471469943564685,9.367081909561034e-2
"MI",26,8,736333,5.499011918857704e-2,0.22038335072961232,0.24119287591433605,0.17405905383495127
"MI",26,9,720890,9.730726056219655e-2,0.2715344769956934,0.18709293496426618,0.11712460175007777
"MI",26,10,717703,8.866632125781357e-2,0.30928604778068247,0.1461906853870385,8.990151907661575e-2
"MI",26,11,727901,5.032926049030164e-2,0.1846726120812072,0.28558471045363043,0.19858035672487243
"MI",26,12,708060,9.266760818646418e-2,0.26163724957988466,0.17560713969025007,0.17114537397296123
"MI",26,13,674157,0.16756552498244767,0.3350908025776216,0.10148155104486689,5.963321214397832e-2
"MI",26,14,696235,0.12598431894592013,0.2569596107594062,0.1604065080414844,0.14654576617919443
"MN",27,1,675755,7.428532221366409e-2,0.2984139420821049,0.18697821217674607,0.10734331978787637
"MN",27,2,705074,5.611221168362115e-2,0.22725583745782613,0.26675966681317376,0.1255565676576066
"MN",27,3,714299,3.6771766805994414e-2,0.17838600294062565,0.3128120430176079,0.1852594165766814
"MN",27,4,714075,8.814198622827152e-2,0.19998663344520862,0.26081281184276756,0.1742497498992287
